loan_id,age,annual_income,home_ownership,employment_length,loan_purpose,loan_grade,loan_amount,interest_rate,default_flag,loan_to_income_ratio,previous_default_flag,credit_history_length,default_status,previous_default_status,age_group,income_segment,loan_amount_segment,interest_rate_segment,loan_to_income_segment,credit_history_segment,employment_length_segment,grade_risk_score,interest_risk_score,dti_risk_score,previous_default_risk_score,income_risk_score,risk_score,risk_level
1287,22,57175,Rent,6.0,Homeimprovement,F,16000,17.15,1,0.28,N,4,Default,No Previous Default,18-25,Lower-Mid Income,Large Loan,High Rate,Medium DTI,Short History,6-10 Years,65,15,10,0,0,90,Very High Risk
1288,26,25500,Mortgage,8.0,Homeimprovement,C,5600,11.91,0,0.22,N,4,Non-Default,No Previous Default,26-35,Low Income,Small Loan,Low Rate,Medium DTI,Short History,6-10 Years,20,5,10,0,10,45,Medium Risk
1289,22,57336,Rent,6.0,Medical,D,16000,17.27,1,0.28,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Large Loan,High Rate,Medium DTI,Very Short History,6-10 Years,35,15,10,0,0,60,High Risk
1290,25,25568,Mortgage,7.0,Education,C,12000,13.47,1,0.47,Y,2,Default,Previous Default,18-25,Low Income,Medium Loan,Medium Rate,High DTI,Very Short History,6-10 Years,20,10,20,15,10,75,High Risk
1291,23,64000,Rent,2.0,Personal,B,16000,10.74,0,0.25,N,3,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Very Short History,2-3 Years,10,5,10,0,0,25,Low Risk
1292,24,58575,Rent,2.0,Medical,F,16000,19.47,1,0.27,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Large Loan,High Rate,Medium DTI,Very Short History,2-3 Years,65,15,10,0,0,90,Very High Risk
1293,22,64800,Rent,1.0,Education,B,16000,10.37,0,0.25,N,4,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Short History,0-1 Years,10,5,10,0,0,25,Low Risk
1294,21,65000,Rent,5.0,Personal,B,16000,9.91,0,0.25,N,3,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Very Short History,4-5 Years,10,5,10,0,0,25,Low Risk
1295,24,25632,Mortgage,4.0,Education,B,1500,9.91,0,0.06,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,4-5 Years,10,5,5,0,10,30,Medium Risk
1296,22,65000,Rent,6.0,Medical,A,16000,8.49,0,0.25,N,4,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Short History,6-10 Years,5,5,10,0,0,20,Low Risk
1297,22,25788,Own,2.0,Venture,B,3500,12.18,0,0.14,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Low DTI,Very Short History,2-3 Years,10,10,5,0,10,35,Medium Risk
1298,22,65000,Rent,6.0,Personal,A,16000,7.88,0,0.25,N,3,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Very Low Rate,Medium DTI,Very Short History,6-10 Years,5,5,10,0,0,20,Low Risk
1299,24,59000,Rent,2.0,Medical,E,16000,16.45,1,0.27,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Large Loan,High Rate,Medium DTI,Very Short History,2-3 Years,50,15,10,0,0,75,High Risk
1300,23,65000,Rent,7.0,Personal,D,16000,14.59,0,0.25,N,4,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Short History,6-10 Years,35,10,10,0,0,55,High Risk
1301,22,25920,Mortgage,7.0,Venture,B,11325,10.65,0,0.44,N,3,Non-Default,No Previous Default,18-25,Low Income,Medium Loan,Low Rate,High DTI,Very Short History,6-10 Years,10,5,20,0,10,45,Medium Risk
1302,22,65000,Rent,6.0,Debtconsolidation,C,16000,13.47,0,0.25,Y,3,Non-Default,Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,6-10 Years,20,10,10,15,0,55,High Risk
1303,22,59000,Rent,4.0,Medical,E,16000,16.32,1,0.27,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Large Loan,High Rate,Medium DTI,Very Short History,4-5 Years,50,15,10,0,0,75,High Risk
1304,25,66000,Rent,6.0,Homeimprovement,B,16000,10.0,0,0.24,N,4,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Short History,6-10 Years,10,5,10,0,0,25,Low Risk
1305,22,25992,Other,6.0,Debtconsolidation,B,3000,9.45,0,0.12,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,10,30,Medium Risk
1306,23,60996,Rent,0.0,Homeimprovement,E,16000,16.0,1,0.26,N,3,Default,No Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,0-1 Years,50,15,10,0,0,75,High Risk
1307,23,62500,Rent,4.0,Debtconsolidation,D,16000,14.54,1,0.26,N,2,Default,No Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,4-5 Years,35,10,10,0,0,55,High Risk
1308,23,63000,Rent,0.0,Education,D,16000,14.42,1,0.25,N,3,Default,No Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,0-1 Years,35,10,10,0,0,55,High Risk
1309,25,26000,Mortgage,3.0,Education,B,3825,11.71,0,0.15,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Low DTI,Very Short History,2-3 Years,10,5,5,0,10,30,Medium Risk
1310,20,64000,Rent,3.0,Venture,D,16000,15.31,1,0.25,Y,4,Default,Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Short History,2-3 Years,35,10,10,15,0,70,High Risk
1311,24,72000,Rent,8.0,Personal,C,16000,13.06,0,0.22,Y,2,Non-Default,Previous Default,18-25,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,6-10 Years,20,10,10,15,0,55,High Risk
1312,26,74000,Rent,4.0,Homeimprovement,D,16000,14.84,0,0.22,Y,3,Non-Default,Previous Default,26-35,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,4-5 Years,35,10,10,15,0,70,High Risk
1313,24,74337,Rent,8.0,Personal,B,16000,11.86,0,0.22,N,3,Non-Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Very Short History,6-10 Years,10,5,10,0,0,25,Low Risk
1314,26,74999,Rent,4.0,Homeimprovement,D,16000,17.27,0,0.21,Y,4,Non-Default,Previous Default,26-35,Mid Income,Large Loan,High Rate,Medium DTI,Short History,4-5 Years,35,15,10,15,0,75,High Risk
1315,26,26000,Mortgage,7.0,Homeimprovement,B,7000,10.99,0,0.27,N,4,Non-Default,No Previous Default,26-35,Low Income,Small Loan,Low Rate,Medium DTI,Short History,6-10 Years,10,5,10,0,10,35,Medium Risk
1316,26,26000,Mortgage,4.0,Homeimprovement,B,12000,10.99,0,0.46,N,3,Non-Default,No Previous Default,26-35,Low Income,Medium Loan,Low Rate,High DTI,Very Short History,4-5 Years,10,5,20,0,10,45,Medium Risk
1317,26,75000,Rent,1.0,Venture,B,16000,10.99,0,0.21,N,2,Non-Default,No Previous Default,26-35,Mid Income,Large Loan,Low Rate,Medium DTI,Very Short History,0-1 Years,10,5,10,0,0,25,Low Risk
1318,23,26000,Mortgage,3.0,Debtconsolidation,B,7800,10.59,0,0.3,N,4,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Low Rate,Medium DTI,Short History,2-3 Years,10,5,20,0,10,45,Medium Risk
1319,26,75000,Rent,2.0,Personal,C,16000,13.35,0,0.21,Y,2,Non-Default,Previous Default,26-35,Mid Income,Large Loan,Medium Rate,Medium DTI,Very Short History,2-3 Years,20,10,10,15,0,55,High Risk
1320,23,26000,Mortgage,7.0,Medical,A,5000,7.91,0,0.19,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Low DTI,Very Short History,6-10 Years,5,5,5,0,10,25,Low Risk
1321,24,69000,Rent,2.0,Debtconsolidation,B,16000,11.89,1,0.23,N,4,Default,No Previous Default,18-25,Mid Income,Large Loan,Low Rate,Medium DTI,Short History,2-3 Years,10,5,10,0,0,25,Low Risk
1322,21,20000,Rent,2.0,Debtconsolidation,C,1000,14.26,0,0.05,Y,2,Non-Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,2-3 Years,20,10,5,15,10,60,High Risk
1323,25,26000,Own,4.0,Education,A,10000,5.79,0,0.38,N,3,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Very Low Rate,High DTI,Very Short History,4-5 Years,5,5,20,0,10,40,Medium Risk
1324,23,26000,Own,7.0,Personal,B,2000,10.36,0,0.08,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,10,30,Medium Risk
1325,22,26000,Mortgage,4.0,Personal,B,4000,9.25,0,0.15,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Low DTI,Very Short History,4-5 Years,10,5,5,0,10,30,Medium Risk
1326,21,26000,Own,5.0,Education,A,6000,5.79,0,0.23,N,2,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Very Low Rate,Medium DTI,Very Short History,4-5 Years,5,5,10,0,10,30,Medium Risk
1327,25,23712,Rent,9.0,Medical,B,1000,11.49,0,0.04,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,10,30,Medium Risk
1328,24,24000,Rent,1.0,Personal,E,1000,17.99,1,0.04,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,High Rate,Very Low DTI,Very Short History,0-1 Years,50,15,5,0,10,80,Very High Risk
1329,23,26000,Mortgage,0.0,Homeimprovement,E,10000,16.82,1,0.38,Y,3,Default,Previous Default,18-25,Low Income,Small Loan,High Rate,High DTI,Very Short History,0-1 Years,50,15,20,15,10,100,Very High Risk
1330,21,24000,Rent,0.0,Medical,B,1000,10.99,1,0.04,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,0-1 Years,10,5,5,0,10,30,Medium Risk
1331,22,24000,Rent,3.0,Debtconsolidation,C,1000,12.84,0,0.04,Y,4,Non-Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Very Low DTI,Short History,2-3 Years,20,10,5,15,10,60,High Risk
1332,21,24960,Rent,0.0,Education,C,1000,13.98,0,0.04,N,4,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Very Low DTI,Short History,0-1 Years,20,10,5,0,10,45,Medium Risk
1333,26,25000,Rent,1.0,Medical,C,1000,14.65,0,0.04,Y,3,Non-Default,Previous Default,26-35,Low Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,20,10,5,15,10,60,High Risk
1334,22,25000,Rent,3.0,Debtconsolidation,D,1000,15.95,1,0.04,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,2-3 Years,35,10,5,0,10,60,High Risk
1335,26,26000,Own,0.0,Debtconsolidation,E,8500,16.45,1,0.33,N,3,Default,No Previous Default,26-35,Low Income,Small Loan,High Rate,High DTI,Very Short History,0-1 Years,50,15,20,0,10,95,Very High Risk
1336,21,26000,Mortgage,5.0,Medical,D,14500,14.61,1,0.56,Y,2,Default,Previous Default,18-25,Low Income,Medium Loan,Medium Rate,Very High DTI,Very Short History,4-5 Years,35,10,25,15,10,95,Very High Risk
1337,24,26000,Mortgage,8.0,Medical,A,7000,7.74,0,0.27,N,2,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Very Low Rate,Medium DTI,Very Short History,6-10 Years,5,5,10,0,10,30,Medium Risk
1338,22,28000,Rent,0.0,Homeimprovement,D,1000,16.29,1,0.04,Y,3,Default,Previous Default,18-25,Low Income,Very Small Loan,High Rate,Very Low DTI,Very Short History,0-1 Years,35,15,5,15,10,80,Very High Risk
1339,25,28000,Rent,6.0,Debtconsolidation,A,1000,7.51,0,0.04,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,10,25,Low Risk
1340,22,26000,Mortgage,2.0,Education,A,2000,7.4,0,0.08,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,2-3 Years,5,5,5,0,10,25,Low Risk
1341,22,28000,Rent,6.0,Homeimprovement,B,1000,10.25,1,0.04,N,4,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Short History,6-10 Years,10,5,5,0,10,30,Medium Risk
1342,24,28000,Rent,8.0,Medical,B,1000,12.53,0,0.04,N,4,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Very Low DTI,Short History,6-10 Years,10,10,5,0,10,35,Medium Risk
1343,23,28600,Rent,7.0,Education,A,1000,7.9,0,0.03,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,10,25,Low Risk
1344,22,29000,Rent,4.0,Venture,A,1000,7.29,0,0.03,N,4,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,4-5 Years,5,5,5,0,10,25,Low Risk
1345,22,26000,Mortgage,6.0,Venture,C,17000,12.84,1,0.65,Y,4,Default,Previous Default,18-25,Low Income,Large Loan,Medium Rate,Very High DTI,Short History,6-10 Years,20,10,25,15,10,80,Very High Risk
1346,26,29000,Rent,2.0,Medical,A,1000,7.74,0,0.03,N,4,Non-Default,No Previous Default,26-35,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,2-3 Years,5,5,5,0,10,25,Low Risk
1347,24,30000,Rent,0.0,Education,A,1000,7.51,0,0.03,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,0-1 Years,5,5,5,0,0,15,Low Risk
1348,21,30000,Rent,0.0,Education,B,1000,10.99,0,0.03,N,4,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Short History,0-1 Years,10,5,5,0,0,20,Low Risk
1349,23,30000,Rent,4.0,Venture,A,1000,7.49,0,0.03,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,4-5 Years,5,5,5,0,0,15,Low Risk
1350,23,26000,Mortgage,2.0,Venture,E,7000,14.93,0,0.27,Y,4,Non-Default,Previous Default,18-25,Low Income,Small Loan,Medium Rate,Medium DTI,Short History,2-3 Years,50,10,10,15,10,95,Very High Risk
1351,21,30000,Rent,0.0,Debtconsolidation,A,1000,7.49,0,0.03,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,0-1 Years,5,5,5,0,0,15,Low Risk
1352,22,26000,Mortgage,3.0,Personal,B,500,10.46,0,0.02,N,4,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Short History,2-3 Years,10,5,5,0,10,30,Medium Risk
1353,26,30000,Rent,2.0,Education,A,1000,9.63,0,0.03,N,3,Non-Default,No Previous Default,26-35,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,2-3 Years,5,5,5,0,0,15,Low Risk
1354,25,26004,Mortgage,3.0,Education,B,10000,9.91,0,0.38,N,2,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Low Rate,High DTI,Very Short History,2-3 Years,10,5,20,0,10,45,Medium Risk
1355,22,26004,Mortgage,1.0,Education,A,5000,5.42,0,0.19,N,4,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Low DTI,Short History,0-1 Years,5,5,5,0,10,25,Low Risk
1356,25,30035,Rent,9.0,Medical,C,1000,12.87,0,0.03,Y,2,Non-Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,20,10,5,15,0,50,Medium Risk
1357,26,26004,Mortgage,5.0,Homeimprovement,B,6000,11.99,0,0.23,N,2,Non-Default,No Previous Default,26-35,Low Income,Small Loan,Low Rate,Medium DTI,Very Short History,4-5 Years,10,5,10,0,10,35,Medium Risk
1358,22,26004,Mortgage,4.0,Education,A,5000,7.49,0,0.19,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Low DTI,Very Short History,4-5 Years,5,5,5,0,10,25,Low Risk
1359,25,33000,Rent,0.0,Debtconsolidation,A,1000,7.29,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,0-1 Years,5,5,5,0,0,15,Low Risk
1360,21,33388,Rent,3.0,Education,B,1000,10.99,0,0.03,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,2-3 Years,10,5,5,0,0,20,Low Risk
1361,22,26004,Mortgage,6.0,Personal,A,12000,7.88,1,0.46,N,4,Default,No Previous Default,18-25,Low Income,Medium Loan,Very Low Rate,High DTI,Short History,6-10 Years,5,5,20,0,10,40,Medium Risk
1362,21,26004,Own,5.0,Venture,A,7500,7.49,0,0.29,N,2,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Very Low Rate,Medium DTI,Very Short History,4-5 Years,5,5,10,0,10,30,Medium Risk
1363,26,26004,Mortgage,2.0,Homeimprovement,B,10000,11.14,0,0.38,N,3,Non-Default,No Previous Default,26-35,Low Income,Small Loan,Low Rate,High DTI,Very Short History,2-3 Years,10,5,20,0,10,45,Medium Risk
1364,23,33600,Rent,2.0,Personal,B,1000,10.36,0,0.03,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,2-3 Years,10,5,5,0,0,20,Low Risk
1365,25,33600,Rent,5.0,Debtconsolidation,B,1000,11.86,0,0.03,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,4-5 Years,10,5,5,0,0,20,Low Risk
1366,23,34000,Rent,0.0,Medical,A,1000,7.37,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,0-1 Years,5,5,5,0,0,15,Low Risk
1367,23,34800,Rent,1.0,Venture,B,1000,11.99,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Short History,0-1 Years,10,5,5,0,0,20,Low Risk
1368,25,34800,Rent,0.0,Medical,C,1000,13.98,0,0.03,Y,3,Non-Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,20,10,5,15,0,50,Medium Risk
1369,22,35000,Rent,4.0,Venture,C,1000,13.48,0,0.03,Y,3,Non-Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,4-5 Years,20,10,5,15,0,50,Medium Risk
1370,25,35000,Rent,9.0,Venture,B,1000,11.99,0,0.03,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
1371,26,29000,Rent,1.0,Education,C,1000,11.28,1,0.03,N,3,Default,No Previous Default,26-35,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,0-1 Years,20,5,5,0,10,40,Medium Risk
1372,24,35100,Rent,8.0,Venture,C,1000,13.49,0,0.03,Y,4,Non-Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Short History,6-10 Years,20,10,5,15,0,50,Medium Risk
1373,22,35100,Rent,0.0,Debtconsolidation,C,1000,13.98,0,0.03,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,20,10,5,0,0,35,Medium Risk
1374,24,26400,Mortgage,0.0,Debtconsolidation,A,6000,8.9,0,0.23,N,4,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Low Rate,Medium DTI,Short History,0-1 Years,5,5,10,0,10,30,Medium Risk
1375,23,36000,Rent,3.0,Education,B,1000,10.99,0,0.03,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,2-3 Years,10,5,5,0,0,20,Low Risk
1376,22,36000,Rent,4.0,Medical,B,1000,9.88,0,0.03,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,4-5 Years,10,5,5,0,0,20,Low Risk
1377,22,36000,Rent,1.0,Education,A,1000,8.59,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Short History,0-1 Years,5,5,5,0,0,15,Low Risk
1378,25,26400,Mortgage,1.0,Homeimprovement,A,7500,8.9,0,0.28,N,3,Non-Default,No Previous Default,18-25,Low Income,Small Loan,Low Rate,Medium DTI,Very Short History,0-1 Years,5,5,10,0,10,30,Medium Risk
1379,22,36000,Rent,1.0,Personal,A,1000,7.68,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,0-1 Years,5,5,5,0,0,15,Low Risk
1380,23,31000,Rent,1.0,Personal,D,1000,14.96,1,0.03,Y,3,Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,35,10,5,15,0,65,High Risk
1381,25,32000,Rent,2.0,Medical,E,1000,19.03,1,0.03,N,4,Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,High Rate,Very Low DTI,Short History,2-3 Years,50,15,5,0,0,70,High Risk
1382,26,38000,Rent,6.0,Personal,C,1000,15.27,0,0.03,Y,3,Non-Default,Previous Default,26-35,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,20,10,5,15,0,50,Medium Risk
1383,24,32000,Rent,2.0,Education,C,1000,13.06,1,0.03,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,2-3 Years,20,10,5,0,0,35,Medium Risk
1384,23,38400,Rent,6.0,Education,B,1000,10.99,0,0.03,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
1385,22,26400,Mortgage,4.0,Homeimprovement,A,1550,7.49,1,0.06,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,4-5 Years,5,5,5,0,10,25,Low Risk
1386,21,38400,Rent,5.0,Personal,C,1000,14.22,0,0.03,Y,3,Non-Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,4-5 Years,20,10,5,15,0,50,Medium Risk
1387,25,33600,Rent,0.0,Education,D,1000,15.57,1,0.03,Y,2,Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,35,10,5,15,0,65,High Risk
1388,24,39996,Rent,2.0,Education,A,1000,7.49,0,0.03,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,2-3 Years,5,5,5,0,0,15,Low Risk
1389,22,40000,Rent,3.0,Debtconsolidation,A,1000,7.9,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,2-3 Years,5,5,5,0,0,15,Low Risk
1390,23,40000,Rent,2.0,Education,A,1000,6.03,0,0.03,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,2-3 Years,5,5,5,0,0,15,Low Risk
1391,24,40000,Rent,1.0,Medical,B,1000,10.99,0,0.03,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,0-1 Years,10,5,5,0,0,20,Low Risk
1392,22,26400,Mortgage,4.0,Personal,B,1000,10.99,1,0.04,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,4-5 Years,10,5,5,0,10,30,Medium Risk
1393,25,26400,Mortgage,5.0,Medical,C,5975,12.99,0,0.23,Y,4,Non-Default,Previous Default,18-25,Low Income,Small Loan,Medium Rate,Medium DTI,Short History,4-5 Years,20,10,10,15,10,65,High Risk
1394,23,40000,Rent,3.0,Venture,B,1000,10.62,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Short History,2-3 Years,10,5,5,0,0,20,Low Risk
1395,24,40000,Rent,4.0,Education,A,1000,6.76,0,0.03,N,4,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Short History,4-5 Years,5,5,5,0,0,15,Low Risk
1396,21,34500,Rent,4.0,Debtconsolidation,E,1000,16.45,1,0.03,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,High Rate,Very Low DTI,Very Short History,4-5 Years,50,15,5,0,0,70,High Risk
1397,22,40800,Rent,6.0,Venture,A,1000,6.91,0,0.02,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
1398,22,42000,Rent,3.0,Debtconsolidation,B,1000,9.62,0,0.02,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,2-3 Years,10,5,5,0,0,20,Low Risk
1399,24,42000,Rent,2.0,Venture,C,1000,13.16,0,0.02,N,2,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,2-3 Years,20,10,5,0,0,35,Medium Risk
1400,23,43000,Rent,7.0,Education,A,1000,7.51,0,0.02,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
1401,25,26400,Mortgage,1.0,Homeimprovement,B,4000,10.74,0,0.15,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Low DTI,Very Short History,0-1 Years,10,5,5,0,10,30,Medium Risk
1402,21,45000,Rent,5.0,Venture,A,1000,7.49,0,0.02,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,4-5 Years,5,5,5,0,0,15,Low Risk
1403,24,45000,Rent,5.0,Education,A,1000,7.4,0,0.02,N,3,Non-Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Very Low Rate,Very Low DTI,Very Short History,4-5 Years,5,5,5,0,0,15,Low Risk
1404,23,45000,Rent,0.0,Education,C,1000,14.26,0,0.02,Y,2,Non-Default,Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,20,10,5,15,0,50,Medium Risk
1405,25,40800,Rent,4.0,Debtconsolidation,D,1000,15.57,1,0.02,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Very Small Loan,Medium Rate,Very Low DTI,Very Short History,4-5 Years,35,10,5,0,0,50,Medium Risk
