loan_id,age,annual_income,home_ownership,employment_length,loan_purpose,loan_grade,loan_amount,interest_rate,default_flag,loan_to_income_ratio,previous_default_flag,credit_history_length,default_status,previous_default_status
3003,25,33000,Rent,4.0,Homeimprovement,C,3200,12.99,1,0.1,Y,2,Default,Previous Default
3004,24,41745,Rent,2.0,Personal,A,3200,9.63,0,0.08,N,3,Non-Default,No Previous Default
3005,22,42500,Rent,7.0,Education,A,3200,7.49,0,0.08,N,4,Non-Default,No Previous Default
3006,26,43200,Rent,5.0,Education,C,3200,14.35,0,0.07,Y,4,Non-Default,Previous Default
3007,24,44000,Rent,1.0,Medical,A,3200,8.0,0,0.07,N,2,Non-Default,No Previous Default
3008,22,44568,Rent,3.0,Personal,B,3200,10.99,0,0.07,N,4,Non-Default,No Previous Default
3009,21,45000,Rent,3.0,Personal,A,3200,6.54,0,0.07,N,4,Non-Default,No Previous Default
3010,22,35000,Mortgage,6.0,Education,C,7500,13.92,0,0.21,N,3,Non-Default,No Previous Default
3011,23,45240,Rent,4.0,Venture,A,3200,7.37,0,0.07,N,3,Non-Default,No Previous Default
3012,26,29000,Mortgage,1.0,Homeimprovement,B,11200,11.14,1,0.39,N,4,Default,No Previous Default
3013,25,42000,Rent,3.0,Medical,D,3200,15.7,1,0.08,Y,2,Default,Previous Default
3014,23,49200,Rent,4.0,Medical,C,3200,13.48,0,0.07,Y,3,Non-Default,Previous Default
3015,22,50000,Rent,1.0,Venture,A,3200,8.49,0,0.06,N,4,Non-Default,No Previous Default
3016,22,51000,Rent,2.0,Education,B,3200,10.99,0,0.06,N,2,Non-Default,No Previous Default
3017,23,35000,Mortgage,6.0,Education,B,8400,12.18,0,0.24,N,3,Non-Default,No Previous Default
3018,25,48000,Rent,0.0,Education,F,3200,18.535,1,0.07,Y,4,Default,Previous Default
3019,24,54731,Rent,2.0,Debtconsolidation,B,3200,11.83,0,0.06,N,2,Non-Default,No Previous Default
3020,23,35000,Mortgage,7.0,Education,F,15000,18.43,0,0.43,Y,2,Non-Default,Previous Default
3021,23,35000,Other,0.0,Personal,B,12800,11.83,1,0.37,N,2,Default,No Previous Default
3022,26,55000,Rent,1.0,Education,A,3200,8.49,0,0.06,N,3,Non-Default,No Previous Default
3023,22,35000,Mortgage,6.0,Education,B,3500,11.48,0,0.1,N,4,Non-Default,No Previous Default
3024,24,58000,Rent,2.0,Venture,C,3200,14.35,0,0.06,N,2,Non-Default,No Previous Default
3025,22,60000,Rent,6.0,Medical,B,3200,11.71,0,0.05,N,2,Non-Default,No Previous Default
3026,22,54000,Rent,5.0,Homeimprovement,D,3200,16.49,1,0.06,Y,4,Default,Previous Default
3027,24,60000,Rent,3.0,Debtconsolidation,A,3200,7.14,0,0.05,N,3,Non-Default,No Previous Default
3028,26,61200,Rent,9.0,Personal,B,3200,9.91,0,0.05,N,2,Non-Default,No Previous Default
3029,26,35000,Mortgage,1.0,Education,D,5000,14.42,0,0.14,Y,2,Non-Default,Previous Default
3030,26,65000,Rent,5.0,Debtconsolidation,B,3200,11.71,0,0.05,N,3,Non-Default,No Previous Default
3031,24,35000,Mortgage,3.0,Personal,D,13000,14.74,0,0.37,N,3,Non-Default,No Previous Default
3032,24,59000,Rent,8.0,Medical,C,3200,13.8,1,0.05,N,3,Default,No Previous Default
3033,24,65004,Rent,0.0,Homeimprovement,B,3200,9.99,0,0.05,N,4,Non-Default,No Previous Default
3034,24,72000,Rent,8.0,Personal,C,3200,13.92,0,0.04,N,3,Non-Default,No Previous Default
3035,22,75000,Rent,6.0,Education,C,3200,10.28,0,0.04,N,4,Non-Default,No Previous Default
3036,24,35000,Own,1.0,Venture,E,3500,16.0,0,0.1,N,3,Non-Default,No Previous Default
3037,26,35000,Mortgage,1.0,Personal,B,6000,12.21,0,0.17,N,4,Non-Default,No Previous Default
3038,25,78000,Rent,5.0,Homeimprovement,C,3200,12.99,0,0.04,Y,4,Non-Default,Previous Default
3039,24,83000,Rent,3.0,Homeimprovement,A,3200,6.99,0,0.04,N,3,Non-Default,No Previous Default
3040,23,78000,Rent,3.0,Education,B,3200,10.99,1,0.04,N,3,Default,No Previous Default
3041,21,85000,Rent,5.0,Personal,B,3200,10.25,0,0.04,N,4,Non-Default,No Previous Default
3042,25,78000,Rent,2.0,Homeimprovement,D,3200,14.59,1,0.04,Y,3,Default,Previous Default
3043,21,35000,Mortgage,1.0,Medical,A,4950,7.68,0,0.14,N,4,Non-Default,No Previous Default
3044,22,29000,Other,0.0,Debtconsolidation,B,7500,10.08,1,0.26,N,4,Default,No Previous Default
3045,22,35000,Mortgage,6.0,Personal,C,7500,11.34,0,0.21,Y,2,Non-Default,Previous Default
3046,22,10200,Rent,4.0,Venture,C,3250,13.48,1,0.32,Y,2,Default,Previous Default
3047,21,12000,Rent,2.0,Homeimprovement,B,3250,9.99,1,0.27,N,2,Default,No Previous Default
3048,21,35000,Mortgage,2.0,Venture,A,800,7.37,0,0.02,N,3,Non-Default,No Previous Default
3049,22,14400,Rent,6.0,Personal,D,3250,16.29,1,0.23,N,4,Default,No Previous Default
3050,24,16000,Rent,0.0,Venture,B,3250,12.42,1,0.2,N,4,Default,No Previous Default
3051,22,17004,Rent,5.0,Debtconsolidation,A,3250,6.91,1,0.19,N,2,Default,No Previous Default
3052,23,18000,Rent,1.0,Personal,C,3250,13.48,1,0.18,Y,4,Default,Previous Default
3053,23,18000,Rent,1.0,Venture,C,3250,13.22,1,0.18,N,2,Default,No Previous Default
3054,25,35000,Mortgage,1.0,Homeimprovement,D,5400,12.17,0,0.15,N,4,Non-Default,No Previous Default
3055,22,35004,Own,3.0,Venture,A,3000,7.9,0,0.09,N,4,Non-Default,No Previous Default
3056,22,20400,Rent,5.0,Medical,C,3250,14.26,1,0.16,Y,2,Default,Previous Default
3057,24,25000,Rent,3.0,Education,D,3250,13.67,0,0.13,N,4,Non-Default,No Previous Default
3058,22,35004,Own,1.0,Venture,B,9000,10.0,0,0.26,N,2,Non-Default,No Previous Default
3059,26,28000,Rent,2.0,Homeimprovement,D,3250,14.59,1,0.12,N,4,Default,No Previous Default
3060,24,35004,Mortgage,5.0,Education,A,7000,5.42,0,0.2,N,3,Non-Default,No Previous Default
3061,21,35004,Own,5.0,Venture,B,1500,9.62,0,0.04,N,2,Non-Default,No Previous Default
3062,25,30000,Rent,0.0,Debtconsolidation,A,3250,5.42,0,0.11,N,3,Non-Default,No Previous Default
3063,22,35000,Rent,0.0,Education,A,3250,6.54,0,0.09,N,3,Non-Default,No Previous Default
3064,24,39000,Rent,0.0,Debtconsolidation,A,3250,8.94,1,0.08,N,2,Default,No Previous Default
3065,21,35004,Own,0.0,Education,D,3000,15.58,0,0.09,N,3,Non-Default,No Previous Default
3066,21,29004,Mortgage,3.0,Education,E,7400,17.56,1,0.26,N,3,Default,No Previous Default
3067,24,35004,Mortgage,3.0,Personal,A,9600,7.88,0,0.27,N,3,Non-Default,No Previous Default
3068,24,35004,Own,8.0,Debtconsolidation,D,8000,14.96,0,0.23,N,4,Non-Default,No Previous Default
3069,22,28956,Rent,2.0,Venture,A,3300,8.49,0,0.11,N,3,Non-Default,No Previous Default
3070,22,35004,Own,0.0,Medical,A,10000,7.51,0,0.29,N,4,Non-Default,No Previous Default
3071,24,33000,Rent,2.0,Venture,C,3300,12.99,0,0.1,N,4,Non-Default,No Previous Default
3072,26,33600,Rent,4.0,Medical,D,3300,15.65,0,0.1,N,4,Non-Default,No Previous Default
3073,21,35004,Mortgage,1.0,Venture,A,3600,8.0,0,0.1,N,2,Non-Default,No Previous Default
3074,22,66000,Rent,0.0,Venture,C,3300,14.65,0,0.05,Y,2,Non-Default,Previous Default
3075,21,70000,Rent,3.0,Personal,C,3300,13.48,0,0.05,N,4,Non-Default,No Previous Default
3076,21,90000,Rent,2.0,Venture,B,3300,11.71,0,0.04,N,4,Non-Default,No Previous Default
3077,24,35004,Other,6.0,Medical,A,18225,9.63,1,0.52,N,3,Default,No Previous Default
3078,25,37000,Rent,2.0,Venture,B,3325,11.49,0,0.09,N,3,Non-Default,No Previous Default
3079,22,35004,Mortgage,0.0,Venture,B,8400,10.39,0,0.24,N,2,Non-Default,No Previous Default
3080,24,30000,Rent,2.0,Debtconsolidation,C,3350,14.72,0,0.11,Y,2,Non-Default,Previous Default
3081,25,36000,Rent,8.0,Personal,A,3350,7.9,0,0.09,N,4,Non-Default,No Previous Default
3082,24,77300,Rent,4.0,Personal,A,3350,7.49,0,0.04,N,3,Non-Default,No Previous Default
3083,21,33000,Rent,5.0,Venture,C,3375,13.49,0,0.1,Y,3,Non-Default,Previous Default
3084,25,11000,Rent,3.0,Medical,B,3400,10.99,1,0.31,N,2,Default,No Previous Default
3085,23,24290,Rent,0.0,Medical,A,3400,7.51,0,0.14,N,4,Non-Default,No Previous Default
3086,22,28404,Rent,7.0,Education,A,3400,8.94,0,0.12,N,3,Non-Default,No Previous Default
3087,25,35138,Mortgage,3.0,Debtconsolidation,B,1000,10.99,0,0.03,N,3,Non-Default,No Previous Default
3088,26,29000,Rent,0.0,Homeimprovement,D,3400,15.62,1,0.12,Y,4,Default,Previous Default
3089,23,40000,Rent,0.0,Venture,A,3400,6.92,0,0.09,N,3,Non-Default,No Previous Default
3090,23,51996,Rent,0.0,Homeimprovement,F,3400,17.58,1,0.07,N,4,Default,No Previous Default
3091,22,29280,Mortgage,0.0,Education,C,12000,11.66,1,0.41,Y,3,Default,Previous Default
3092,23,35292,Mortgage,7.0,Education,A,2100,7.51,0,0.06,N,2,Non-Default,No Previous Default
3093,24,60000,Rent,5.0,Homeimprovement,D,3400,15.31,0,0.06,N,2,Non-Default,No Previous Default
3094,23,80004,Rent,2.0,Debtconsolidation,A,3400,8.49,0,0.04,N,3,Non-Default,No Previous Default
3095,23,35352,Mortgage,4.0,Education,A,6500,5.42,0,0.18,N,2,Non-Default,No Previous Default
3096,25,29360,Mortgage,5.0,Personal,B,8875,12.69,1,0.3,N,3,Default,No Previous Default
3097,22,35360,Mortgage,6.0,Education,A,9600,5.99,0,0.27,N,4,Non-Default,No Previous Default
3098,24,114750,Rent,1.0,Medical,B,3400,12.21,1,0.03,N,4,Default,No Previous Default
3099,21,35360,Mortgage,2.0,Education,D,12250,15.31,0,0.35,N,4,Non-Default,No Previous Default
3100,25,35360,Mortgage,9.0,Medical,A,10000,8.94,0,0.28,N,2,Non-Default,No Previous Default
3101,26,14000,Rent,8.0,Homeimprovement,B,3450,12.69,1,0.25,N,3,Default,No Previous Default
3102,25,25000,Rent,5.0,Homeimprovement,B,3450,11.99,1,0.14,N,4,Default,No Previous Default
3103,22,12000,Rent,1.0,Education,D,3500,15.65,1,0.29,Y,2,Default,Previous Default
3104,23,35375,Mortgage,7.0,Debtconsolidation,A,5600,6.76,0,0.16,N,3,Non-Default,No Previous Default
3105,22,12996,Rent,2.0,Medical,A,3500,8.59,1,0.27,N,4,Default,No Previous Default
3106,21,13500,Rent,0.0,Venture,B,3500,9.96,1,0.26,N,2,Default,No Previous Default
3107,21,15600,Rent,2.0,Personal,D,3500,16.07,1,0.22,N,3,Default,No Previous Default
3108,21,29400,Mortgage,0.0,Medical,B,12000,11.83,1,0.41,N,4,Default,No Previous Default
3109,22,17280,Rent,0.0,Education,D,3500,15.31,1,0.2,Y,4,Default,Previous Default
3110,26,29400,Mortgage,4.0,Medical,A,12000,9.32,1,0.41,N,4,Default,No Previous Default
3111,22,18000,Rent,0.0,Venture,C,3500,13.48,1,0.19,Y,2,Default,Previous Default
3112,21,18456,Rent,2.0,Medical,C,3500,13.35,1,0.19,Y,2,Default,Previous Default
3113,24,19000,Rent,4.0,Medical,A,3500,7.88,1,0.18,N,2,Default,No Previous Default
3114,22,20000,Rent,5.0,Education,C,3500,13.11,0,0.17,N,3,Non-Default,No Previous Default
3115,25,20000,Rent,0.0,Venture,C,3500,10.28,0,0.17,Y,2,Non-Default,Previous Default
3116,23,35500,Mortgage,8.0,Education,A,9000,7.49,0,0.25,N,3,Non-Default,No Previous Default
3117,24,35500,Mortgage,4.0,Debtconsolidation,A,14500,7.49,0,0.41,N,3,Non-Default,No Previous Default
3118,22,20400,Rent,1.0,Venture,A,3500,6.99,0,0.17,N,2,Non-Default,No Previous Default
3119,22,35500,Mortgage,0.0,Education,C,4000,12.53,0,0.11,N,2,Non-Default,No Previous Default
3120,23,35500,Mortgage,0.0,Medical,C,3000,11.28,0,0.08,Y,3,Non-Default,Previous Default
3121,22,21600,Rent,2.0,Medical,D,3500,15.31,1,0.16,N,2,Default,No Previous Default
3122,21,21600,Rent,2.0,Debtconsolidation,A,3500,7.51,0,0.16,N,2,Non-Default,No Previous Default
3123,22,22292,Rent,5.0,Debtconsolidation,D,3500,16.49,1,0.16,N,3,Default,No Previous Default
3124,22,29554,Mortgage,4.0,Debtconsolidation,A,5775,5.42,1,0.2,N,3,Default,No Previous Default
3125,22,23000,Rent,3.0,Debtconsolidation,B,3500,10.37,0,0.15,N,4,Non-Default,No Previous Default
3126,24,35640,Mortgage,1.0,Debtconsolidation,C,10000,13.49,0,0.28,Y,3,Non-Default,Previous Default
3127,24,24000,Rent,2.0,Homeimprovement,D,3500,15.65,1,0.15,Y,3,Default,Previous Default
3128,23,35808,Mortgage,3.0,Education,A,8700,7.51,0,0.24,N,2,Non-Default,No Previous Default
3129,26,24000,Rent,0.0,Venture,B,3500,10.71,0,0.15,N,4,Non-Default,No Previous Default
3130,22,24240,Rent,3.0,Venture,B,3500,9.99,0,0.14,N,3,Non-Default,No Previous Default
3131,22,35900,Mortgage,6.0,Personal,C,6000,15.27,0,0.17,N,3,Non-Default,No Previous Default
3132,23,26000,Rent,0.0,Debtconsolidation,A,3500,6.91,0,0.13,N,3,Non-Default,No Previous Default
3133,22,26400,Rent,1.0,Education,C,3500,15.27,0,0.13,N,3,Non-Default,No Previous Default
3134,21,26400,Rent,6.0,Debtconsolidation,A,3500,8.49,1,0.13,N,3,Default,No Previous Default
3135,22,36000,Mortgage,0.0,Education,C,11625,13.49,0,0.32,N,2,Non-Default,No Previous Default
3136,25,27600,Rent,4.0,Venture,B,3500,10.99,0,0.13,N,4,Non-Default,No Previous Default
3137,22,28800,Rent,0.0,Venture,A,3500,7.49,0,0.12,N,2,Non-Default,No Previous Default
3138,23,36000,Mortgage,7.0,Education,B,11300,12.69,0,0.31,N,2,Non-Default,No Previous Default
3139,21,30000,Rent,5.0,Personal,A,3500,7.9,0,0.12,N,2,Non-Default,No Previous Default
3140,24,30000,Rent,0.0,Medical,A,3500,5.99,0,0.12,N,2,Non-Default,No Previous Default
3141,22,30000,Rent,3.0,Venture,C,3500,14.22,1,0.12,N,4,Default,No Previous Default
3142,22,30000,Rent,3.0,Medical,C,3500,13.92,0,0.12,N,4,Non-Default,No Previous Default
3143,22,36000,Mortgage,6.0,Personal,A,18500,7.9,0,0.51,N,4,Non-Default,No Previous Default
3144,26,30000,Rent,2.0,Venture,B,3500,10.99,0,0.12,N,2,Non-Default,No Previous Default
3145,21,30000,Rent,0.0,Venture,A,3500,7.49,0,0.12,N,4,Non-Default,No Previous Default
3146,25,31200,Rent,7.0,Medical,A,3500,6.92,0,0.11,N,3,Non-Default,No Previous Default
3147,24,36000,Mortgage,2.0,Venture,B,5200,9.91,0,0.14,N,3,Non-Default,No Previous Default
3148,21,33000,Rent,0.0,Medical,B,3500,11.71,0,0.11,N,4,Non-Default,No Previous Default
3149,26,33000,Rent,1.0,Venture,B,3500,10.25,0,0.11,N,2,Non-Default,No Previous Default
3150,22,34000,Rent,0.0,Debtconsolidation,C,3500,14.27,0,0.1,Y,3,Non-Default,Previous Default
3151,22,36000,Mortgage,4.0,Medical,B,12000,11.71,0,0.33,N,2,Non-Default,No Previous Default
3152,25,36000,Mortgage,1.0,Medical,A,5100,8.9,0,0.14,N,4,Non-Default,No Previous Default
3153,26,34200,Rent,1.0,Medical,C,3500,12.84,0,0.1,N,4,Non-Default,No Previous Default
3154,24,35000,Rent,7.0,Education,A,3500,6.99,0,0.1,N,2,Non-Default,No Previous Default
3155,21,35000,Rent,0.0,Medical,B,3500,9.62,0,0.1,N,2,Non-Default,No Previous Default
3156,24,36000,Mortgage,5.0,Venture,A,5600,7.9,0,0.16,N,2,Non-Default,No Previous Default
3157,25,35000,Rent,6.0,Personal,B,3500,11.58,0,0.1,N,3,Non-Default,No Previous Default
3158,21,35000,Rent,3.0,Debtconsolidation,C,3500,12.53,0,0.1,Y,4,Non-Default,Previous Default
3159,21,35100,Rent,1.0,Education,A,3500,5.79,0,0.1,N,2,Non-Default,No Previous Default
3160,23,35500,Rent,5.0,Education,B,3500,10.99,0,0.1,N,3,Non-Default,No Previous Default
3161,25,36000,Rent,3.0,Venture,A,3500,6.62,0,0.1,N,3,Non-Default,No Previous Default
3162,21,36000,Mortgage,5.0,Medical,B,1000,12.42,0,0.03,N,2,Non-Default,No Previous Default
3163,22,36000,Mortgage,3.0,Education,A,5250,7.49,0,0.15,N,4,Non-Default,No Previous Default
3164,23,30000,Rent,4.0,Medical,B,3500,11.49,1,0.12,N,2,Default,No Previous Default
3165,21,38000,Rent,5.0,Venture,B,3500,10.59,0,0.09,N,3,Non-Default,No Previous Default
3166,26,36000,Mortgage,6.0,Personal,A,5175,6.03,0,0.14,N,4,Non-Default,No Previous Default
3167,22,38400,Rent,4.0,Education,C,3500,13.99,0,0.09,N,3,Non-Default,No Previous Default
3168,22,39000,Rent,6.0,Medical,B,3500,9.91,0,0.09,N,4,Non-Default,No Previous Default
3169,22,39336,Rent,6.0,Venture,A,3500,5.42,0,0.09,N,2,Non-Default,No Previous Default
3170,24,40000,Rent,3.0,Education,A,3500,7.9,0,0.09,N,4,Non-Default,No Previous Default
3171,23,40000,Rent,2.0,Venture,B,3500,11.99,0,0.09,N,4,Non-Default,No Previous Default
3172,23,40000,Rent,4.0,Personal,C,3500,13.23,0,0.09,Y,2,Non-Default,Previous Default
3173,24,40000,Rent,0.0,Venture,B,3500,10.99,0,0.09,N,2,Non-Default,No Previous Default
3174,24,36000,Mortgage,8.0,Personal,D,3600,16.77,0,0.1,Y,2,Non-Default,Previous Default
3175,26,30000,Mortgage,4.0,Debtconsolidation,A,8000,6.62,1,0.27,N,4,Default,No Previous Default
3176,21,41000,Rent,4.0,Education,B,3500,10.75,0,0.09,N,3,Non-Default,No Previous Default
3177,24,36000,Own,5.0,Personal,B,8000,10.65,0,0.22,N,2,Non-Default,No Previous Default
3178,25,42000,Rent,0.0,Venture,A,3500,5.42,0,0.08,N,4,Non-Default,No Previous Default
3179,23,30000,Mortgage,4.0,Debtconsolidation,B,4800,10.65,1,0.16,N,3,Default,No Previous Default
3180,26,42000,Rent,3.0,Personal,B,3500,10.74,0,0.08,N,4,Non-Default,No Previous Default
3181,21,42000,Rent,5.0,Debtconsolidation,B,3500,10.37,0,0.08,N,4,Non-Default,No Previous Default
3182,22,36000,Mortgage,4.0,Medical,A,7275,6.03,0,0.2,N,3,Non-Default,No Previous Default
3183,24,36000,Mortgage,4.0,Homeimprovement,A,14775,6.62,0,0.41,N,4,Non-Default,No Previous Default
3184,24,42000,Rent,1.0,Personal,A,3500,7.49,0,0.08,N,3,Non-Default,No Previous Default
3185,26,36000,Mortgage,5.0,Personal,A,4000,7.49,0,0.11,N,3,Non-Default,No Previous Default
3186,26,42500,Rent,2.0,Education,C,3500,12.61,0,0.08,Y,4,Non-Default,Previous Default
3187,21,42500,Rent,0.0,Education,B,3500,11.86,0,0.08,N,4,Non-Default,No Previous Default
3188,22,36000,Mortgage,6.0,Medical,B,1000,9.99,0,0.03,N,3,Non-Default,No Previous Default
3189,24,44000,Rent,3.0,Education,B,3500,12.69,0,0.08,N,2,Non-Default,No Previous Default
3190,23,45000,Rent,3.0,Education,B,3500,10.59,0,0.08,N,4,Non-Default,No Previous Default
3191,23,39000,Rent,3.0,Education,B,3500,11.86,1,0.09,N,4,Default,No Previous Default
3192,22,45000,Rent,0.0,Medical,B,3500,12.53,0,0.08,N,3,Non-Default,No Previous Default
3193,25,30000,Mortgage,3.0,Homeimprovement,A,12000,5.99,1,0.4,N,4,Default,No Previous Default
3194,25,47000,Rent,6.0,Medical,B,3500,9.99,0,0.07,N,3,Non-Default,No Previous Default
3195,25,36000,Own,2.0,Medical,A,8400,5.99,0,0.23,N,3,Non-Default,No Previous Default
3196,24,30000,Mortgage,4.0,Medical,D,10000,15.99,1,0.33,Y,2,Default,Previous Default
3197,25,36000,Mortgage,0.0,Medical,A,5600,7.49,0,0.16,N,4,Non-Default,No Previous Default
3198,26,36000,Mortgage,2.0,Personal,A,7000,7.49,0,0.19,N,2,Non-Default,No Previous Default
3199,23,47496,Rent,7.0,Debtconsolidation,B,3500,12.69,0,0.07,N,3,Non-Default,No Previous Default
3200,23,48000,Rent,7.0,Debtconsolidation,C,3500,13.98,0,0.07,N,4,Non-Default,No Previous Default
3201,25,48000,Rent,8.0,Debtconsolidation,C,3500,13.16,0,0.07,N,3,Non-Default,No Previous Default
3202,23,36000,Mortgage,7.0,Education,B,2000,11.49,0,0.06,N,2,Non-Default,No Previous Default
3203,23,48562,Rent,4.0,Venture,A,3500,8.0,0,0.07,N,2,Non-Default,No Previous Default
3204,22,50000,Rent,2.0,Venture,B,3500,10.99,0,0.07,N,3,Non-Default,No Previous Default
3205,22,36000,Mortgage,0.0,Education,B,12375,10.99,0,0.34,N,3,Non-Default,No Previous Default
3206,22,50250,Rent,6.0,Venture,A,3500,7.14,0,0.07,N,4,Non-Default,No Previous Default
3207,22,51996,Rent,4.0,Personal,B,3500,9.62,0,0.07,N,2,Non-Default,No Previous Default
3208,23,36000,Mortgage,7.0,Education,B,11000,10.99,0,0.31,N,3,Non-Default,No Previous Default
3209,24,45996,Rent,9.0,Personal,B,3500,12.21,1,0.08,N,2,Default,No Previous Default
3210,24,52000,Rent,4.0,Debtconsolidation,A,3500,7.68,0,0.07,N,2,Non-Default,No Previous Default
3211,23,52692,Rent,4.0,Education,C,3500,12.23,0,0.07,Y,4,Non-Default,Previous Default
3212,23,36000,Mortgage,6.0,Personal,C,14000,12.99,0,0.39,Y,3,Non-Default,Previous Default
3213,25,54084,Rent,5.0,Homeimprovement,B,3500,9.25,0,0.06,N,2,Non-Default,No Previous Default
3214,21,36000,Mortgage,5.0,Personal,A,2800,6.99,0,0.08,N,2,Non-Default,No Previous Default
3215,21,30000,Mortgage,5.0,Homeimprovement,C,13250,13.99,1,0.44,N,3,Default,No Previous Default
3216,24,55000,Rent,0.0,Debtconsolidation,B,3500,8.88,0,0.06,N,4,Non-Default,No Previous Default
3217,22,55000,Rent,7.0,Medical,B,3500,9.99,0,0.06,N,3,Non-Default,No Previous Default
3218,23,56000,Rent,7.0,Debtconsolidation,C,3500,13.48,0,0.06,Y,3,Non-Default,Previous Default
3219,22,57000,Rent,1.0,Education,C,3500,12.61,0,0.06,Y,2,Non-Default,Previous Default
3220,26,51000,Rent,3.0,Debtconsolidation,D,3500,13.24,1,0.07,Y,4,Default,Previous Default
3221,26,58000,Rent,0.0,Homeimprovement,A,3500,8.59,0,0.06,N,2,Non-Default,No Previous Default
3222,24,59000,Rent,5.0,Medical,A,3500,8.9,0,0.06,N,3,Non-Default,No Previous Default
3223,22,60000,Rent,5.0,Venture,A,3500,5.42,0,0.06,N,2,Non-Default,No Previous Default
3224,22,36000,Mortgage,6.0,Debtconsolidation,A,5975,7.42,0,0.17,N,4,Non-Default,No Previous Default
3225,24,60000,Rent,5.0,Education,B,3500,11.86,0,0.06,N,4,Non-Default,No Previous Default
3226,24,36000,Own,4.0,Education,A,6500,5.42,0,0.18,N,2,Non-Default,No Previous Default
3227,23,36000,Mortgage,7.0,Personal,A,7200,5.42,0,0.2,N,2,Non-Default,No Previous Default
3228,21,36000,Mortgage,3.0,Debtconsolidation,A,4000,5.99,0,0.11,N,4,Non-Default,No Previous Default
3229,25,36000,Mortgage,3.0,Medical,A,5300,7.49,0,0.15,N,3,Non-Default,No Previous Default
3230,25,56400,Rent,2.0,Debtconsolidation,D,3500,15.62,1,0.06,N,4,Default,No Previous Default
3231,22,36000,Mortgage,1.0,Medical,A,3500,7.49,0,0.1,N,2,Non-Default,No Previous Default
3232,23,63816,Rent,4.0,Education,B,3500,9.63,0,0.05,N,3,Non-Default,No Previous Default
3233,24,65000,Rent,3.0,Education,A,3500,7.74,0,0.05,N,3,Non-Default,No Previous Default
3234,25,59000,Rent,3.0,Medical,D,3500,15.65,1,0.06,N,2,Default,No Previous Default
3235,23,36000,Mortgage,7.0,Debtconsolidation,B,6400,11.49,0,0.18,N,3,Non-Default,No Previous Default
3236,23,30000,Mortgage,6.0,Homeimprovement,A,6725,6.99,1,0.22,N,3,Default,No Previous Default
3237,25,66660,Rent,0.0,Education,B,3500,10.99,0,0.05,N,3,Non-Default,No Previous Default
3238,23,36000,Mortgage,4.0,Personal,C,5000,14.79,0,0.14,N,2,Non-Default,No Previous Default
3239,24,36000,Mortgage,8.0,Personal,C,3500,13.06,0,0.1,Y,3,Non-Default,Previous Default
3240,23,70000,Rent,1.0,Education,A,3500,5.42,0,0.05,N,3,Non-Default,No Previous Default
3241,23,64000,Rent,7.0,Debtconsolidation,C,3500,14.72,1,0.05,Y,2,Default,Previous Default
3242,23,74000,Rent,1.0,Education,C,3500,12.87,0,0.05,Y,3,Non-Default,Previous Default
3243,26,68004,Rent,10.0,Debtconsolidation,D,3500,15.28,1,0.05,Y,3,Default,Previous Default
3244,24,74400,Rent,1.0,Education,A,3500,7.29,0,0.05,N,4,Non-Default,No Previous Default
3245,23,74880,Rent,3.0,Education,B,3500,11.11,0,0.05,N,4,Non-Default,No Previous Default
3246,22,75000,Rent,3.0,Education,A,3500,7.29,0,0.05,N,2,Non-Default,No Previous Default
3247,25,77000,Rent,2.0,Debtconsolidation,A,3500,7.9,0,0.05,N,4,Non-Default,No Previous Default
3248,23,78000,Rent,1.0,Venture,B,3500,9.96,0,0.04,N,4,Non-Default,No Previous Default
3249,23,81000,Rent,5.0,Education,B,3500,10.75,0,0.04,N,3,Non-Default,No Previous Default
3250,25,83500,Rent,9.0,Homeimprovement,C,3500,13.48,0,0.04,N,2,Non-Default,No Previous Default
3251,24,78000,Rent,1.0,Debtconsolidation,B,3500,11.83,1,0.04,N,3,Default,No Previous Default
3252,24,36000,Mortgage,5.0,Debtconsolidation,B,7000,11.11,0,0.19,N,4,Non-Default,No Previous Default
3253,21,36000,Mortgage,1.0,Medical,A,4000,5.42,0,0.11,N,3,Non-Default,No Previous Default
3254,23,94000,Rent,7.0,Medical,B,3500,11.49,0,0.04,N,3,Non-Default,No Previous Default
3255,23,98000,Rent,5.0,Debtconsolidation,A,3500,8.07,0,0.04,N,3,Non-Default,No Previous Default
3256,21,110000,Rent,0.0,Education,C,3500,13.99,0,0.03,Y,3,Non-Default,Previous Default
3257,23,26000,Rent,2.0,Medical,A,3525,6.62,0,0.14,N,4,Non-Default,No Previous Default
3258,22,36000,Mortgage,6.0,Education,A,12000,7.29,0,0.33,N,3,Non-Default,No Previous Default
3259,24,36000,Rent,5.0,Venture,D,3525,14.59,0,0.1,Y,3,Non-Default,Previous Default
3260,26,45000,Rent,6.0,Medical,A,3575,7.49,0,0.08,N,2,Non-Default,No Previous Default
3261,22,10800,Rent,4.0,Venture,C,3600,12.23,1,0.33,Y,3,Default,Previous Default
3262,21,36000,Own,4.0,Education,A,11000,5.42,0,0.31,N,3,Non-Default,No Previous Default
3263,25,12000,Rent,4.0,Debtconsolidation,B,3600,9.62,1,0.3,N,2,Default,No Previous Default
3264,21,12120,Rent,0.0,Debtconsolidation,A,3600,8.32,1,0.3,N,2,Default,No Previous Default
3265,22,36000,Own,6.0,Education,B,7500,9.63,0,0.21,N,2,Non-Default,No Previous Default
